Transaction ID,Date of Travel,Company,City,KM Travelled,Price Charged,Cost of Trip
10000011,42377,Pink Cab,ATLANTA GA,30.45,370.95,313.635
10000012,42375,Pink Cab,ATLANTA GA,28.62,358.52,334.854
10000013,42371,Pink Cab,ATLANTA GA,9.04,125.2,97.632
10000014,42376,Pink Cab,ATLANTA GA,33.17,377.4,351.602
10000015,42372,Pink Cab,ATLANTA GA,8.73,114.62,97.776
10000016,42376,Pink Cab,ATLANTA GA,6.06,72.43,63.024
10000017,42372,Pink Cab,AUSTIN TX,44,576.15,475.2
10000018,42376,Pink Cab,AUSTIN TX,35.65,466.1,377.89
10000019,42381,Pink Cab,BOSTON MA,14.4,191.61,146.88
10000020,42375,Pink Cab,BOSTON MA,10.89,156.98,113.256
10000021,42380,Pink Cab,BOSTON MA,39.6,570.83,475.2
10000022,42375,Pink Cab,BOSTON MA,21.8,317.27,220.18
10000023,42380,Pink Cab,BOSTON MA,12,158.01,134.4
10000024,42375,Pink Cab,BOSTON MA,32.67,470.94,392.04
10000025,42377,Pink Cab,BOSTON MA,25.52,360.79,298.584
10000026,42379,Pink Cab,BOSTON MA,15.54,234.78,169.386
10000027,42376,Pink Cab,BOSTON MA,6.65,101.39,76.475
10000028,42377,Pink Cab,BOSTON MA,34.22,498.02,407.218
10000029,42371,Pink Cab,BOSTON MA,21.34,324.21,226.204
10000030,42371,Pink Cab,BOSTON MA,41.3,646.06,454.3
10000031,42375,Pink Cab,BOSTON MA,1.96,27.71,20.776
10000032,42376,Pink Cab,BOSTON MA,13.44,193.74,145.152
10000033,42381,Pink Cab,BOSTON MA,23.4,295.15,259.74
10000034,42372,Pink Cab,CHICAGO IL,23.2,396.73,278.4
10000035,42378,Pink Cab,CHICAGO IL,4.48,55.27,51.52
10000036,42380,Pink Cab,CHICAGO IL,37.76,541.76,407.808
10000037,42380,Pink Cab,CHICAGO IL,14.56,191.33,171.808
10000038,42377,Pink Cab,CHICAGO IL,39.55,540.93,454.825
10000039,42379,Pink Cab,CHICAGO IL,6.66,95.55,68.598
10000040,42376,Pink Cab,CHICAGO IL,37.05,447.12,381.615
10000041,42371,Pink Cab,CHICAGO IL,35.02,598.43,406.232
10000042,42379,Pink Cab,CHICAGO IL,9.09,129.2,98.172
10000043,42372,Pink Cab,CHICAGO IL,41.2,628.02,482.04
10000044,42376,Pink Cab,CHICAGO IL,24.2,330.99,266.2
10000045,42371,Pink Cab,CHICAGO IL,3.24,48.04,33.696
10000046,42372,Pink Cab,CHICAGO IL,7.91,114.86,94.129
10000047,42375,Pink Cab,CHICAGO IL,24.75,345.15,294.525
10000048,42371,Pink Cab,CHICAGO IL,14.04,223.6,140.4
10000049,42371,Pink Cab,CHICAGO IL,27.82,451.22,303.238
10000050,42371,Pink Cab,CHICAGO IL,10.2,165.77,116.28
10000051,42379,Pink Cab,CHICAGO IL,33.25,441.39,335.825
10000052,42379,Pink Cab,CHICAGO IL,38.42,556.38,441.83
10000053,42372,Pink Cab,CHICAGO IL,19.08,337.71,194.616
10000054,42381,Pink Cab,CHICAGO IL,21.34,311.9,217.668
10000055,42371,Pink Cab,CHICAGO IL,16.95,249.42,200.01
10000056,42378,Pink Cab,CHICAGO IL,31.68,458.78,316.8
10000057,42378,Pink Cab,CHICAGO IL,13.2,191.16,149.16
10000058,42379,Pink Cab,CHICAGO IL,15.21,218.23,155.142
10000059,42381,Pink Cab,CHICAGO IL,30.9,439.2,339.9
10000060,42371,Pink Cab,CHICAGO IL,35.34,500.22,395.808
10000061,42379,Pink Cab,CHICAGO IL,40.12,581,461.38
10000062,42372,Pink Cab,CHICAGO IL,7.49,113.79,74.9
10000063,42379,Pink Cab,CHICAGO IL,28.34,387.61,334.412
10000064,42375,Pink Cab,DALLAS TX,9.45,73.43,98.28
10000065,42380,Pink Cab,DALLAS TX,4.9,35.76,49.49
10000066,42371,Pink Cab,DALLAS TX,13.13,122.42,149.682
10000067,42371,Pink Cab,DALLAS TX,33.32,308.58,386.512
10000068,42380,Pink Cab,DALLAS TX,4.52,38.31,52.884
10000069,42376,Pink Cab,DALLAS TX,22.4,175.8,246.4
10000070,42371,Pink Cab,DENVER CO,7.02,61.3,82.836
10000071,42375,Pink Cab,DENVER CO,28.6,220.26,331.76
10000072,42380,Pink Cab,DENVER CO,3.84,34.98,45.312
10000073,42376,Pink Cab,DENVER CO,12.84,115.9,132.252
10000074,42371,Pink Cab,LOS ANGELES CA,46,997.84,542.8
10000075,42375,Pink Cab,LOS ANGELES CA,36.04,666.08,410.856
10000076,42372,Pink Cab,LOS ANGELES CA,31.92,685.42,344.736
10000077,42372,Pink Cab,LOS ANGELES CA,25.76,570.08,301.392
10000078,42372,Pink Cab,LOS ANGELES CA,4.75,92.04,55.1
10000079,42372,Pink Cab,LOS ANGELES CA,17.85,383.29,205.275
10000080,42378,Pink Cab,LOS ANGELES CA,29.29,591.55,339.764
10000081,42376,Pink Cab,LOS ANGELES CA,23.52,443.65,256.368
10000082,42378,Pink Cab,LOS ANGELES CA,10.8,205.77,119.88
10000083,42375,Pink Cab,LOS ANGELES CA,9.6,168.28,112.32
10000084,42372,Pink Cab,LOS ANGELES CA,45.63,1021.72,492.804
10000085,42378,Pink Cab,LOS ANGELES CA,43.7,749.36,502.55
10000086,42381,Pink Cab,LOS ANGELES CA,21.42,424.45,257.04
10000087,42372,Pink Cab,LOS ANGELES CA,30.24,659.48,338.688
